Time_1,user,likes_count,url,twitterID,howOld
0000/02/03 17:10:43,HiroMiyawaki,0,https://qiita.com/HiroMiyawaki/items/4691fed182f96672f6bc,,1
0000/02/03 18:45:03,teruqii,8,https://qiita.com/teruqii/items/447d09d10e24fca0c20f,,2
0000/02/03 20:51:00,mana_544,28,https://qiita.com/mana_544/items/71c0024c3229dd9bacc6,mana_544,2
0000/02/03 22:42:57,KOICHI_5963,18,https://qiita.com/KOICHI_5963/items/b6233963368da0ecc071,5963_ROUTE,2
0000/02/04 08:33:24,7of9,0,https://qiita.com/7of9/items/fb40f0497e129b434505,,4
0000/02/04 09:06:28,7of9,0,https://qiita.com/7of9/items/c100bb2df0af001b2773,,4
0000/02/04 10:08:19,HiroMiyawaki,1,https://qiita.com/HiroMiyawaki/items/e4c70b7b9dc4ba62f107,,1
0000/02/04 10:59:18,bendevs,5,https://qiita.com/bendevs/items/4edccbb9c35ec70a98b8,,2
0000/02/04 14:48:38,ossyaritoori,0,https://qiita.com/ossyaritoori/items/53f99de6d5d7500253d6,ossyaritoori,4
0000/02/05 21:31:39,Hagian,2,https://qiita.com/Hagian/items/1fb26ca66da1cf587d72,4voltex,1
0000/02/06 04:21:11,katsu1110,56,https://qiita.com/katsu1110/items/23b8a37ac400dd0eaad2,kk1110tt,5
0000/02/06 19:23:59,tsubolabo,3,https://qiita.com/tsubolabo/items/67cfad92c14f6a0bea96,,1
0000/02/07 01:23:44,stozaki,16,https://qiita.com/stozaki/items/4bacb2e988c74f7a16e4,,2
0000/02/07 19:02:30,shigepong,6,https://qiita.com/shigepong/items/9c9a45a430e2edafc0c6,shigepong,8
0000/02/07 19:08:15,shigepong,1,https://qiita.com/shigepong/items/6c464a20d5fcafa83911,shigepong,8
0000/02/07 21:21:30,dokagui_tairan,2,https://qiita.com/dokagui_tairan/items/6cf2f11013f45fa6efa9,dokagui_tairan,1
0000/02/08 17:16:49,KOICHI_5963,4,https://qiita.com/KOICHI_5963/items/5041eb7df12125d5e1ba,5963_ROUTE,2
0000/02/08 19:10:45,enoughspacefor,2,https://qiita.com/enoughspacefor/items/01f7ed446a4ccfca5972,,2
0000/02/08 21:23:09,motorcontrolman,27,https://qiita.com/motorcontrolman/items/03ea4d2a978d626f4337,motorcontrolman,2
0000/02/09 00:26:38,ginger893,2,https://qiita.com/ginger893/items/0e2cd95cca71e8f5a7f4,ginger893,3
0000/02/09 01:58:45,karadaharu,2,https://qiita.com/karadaharu/items/463c34b1684179cd35ae,karadaharu,5
0000/02/09 21:29:55,macht,49,https://qiita.com/macht/items/8a9d606d334674091d28,,1
0000/02/10 06:10:32,eigs,40,https://qiita.com/eigs/items/cf3a64f7248bce76ce53,michio_MWJ,2
0000/02/11 13:49:00,kouichi-c-nakamura,12,https://qiita.com/kouichi-c-nakamura/items/6233d78180a9f5e5f4ce,,5
0000/02/12 18:36:33,griffin921,17,https://qiita.com/griffin921/items/7c3ffc54dd1044670db7,griffin921,1
0000/02/13 13:47:36,aoimidori,12,https://qiita.com/aoimidori/items/644ac0e726d60a99cc4a,,2
0000/02/14 10:00:40,eigs,16,https://qiita.com/eigs/items/39196afdb5f28bf3ba0f,michio_MWJ,2
0000/02/14 17:06:31,kurokida,3,https://qiita.com/kurokida/items/105c2878462917c99324,kurokida1,2
0000/02/14 21:07:25,xiaolong0703,1,https://qiita.com/xiaolong0703/items/b9d432a24ab94a04b259,,4
0000/02/14 23:03:46,motorcontrolman,49,https://qiita.com/motorcontrolman/items/6a52c722bd2314119b25,motorcontrolman,2
0000/02/15 19:24:16,yt_siden,0,https://qiita.com/yt_siden/items/2589c1962d013ead100b,yt_siden,5
0000/02/15 21:35:10,kouichi-c-nakamura,2,https://qiita.com/kouichi-c-nakamura/items/cbaca3f54383d9c23c53,,5
0000/02/16 00:51:00,stozaki,5,https://qiita.com/stozaki/items/e618748b867b6a609333,,2
0000/02/16 09:31:16,GushiSnow,110,https://qiita.com/GushiSnow/items/5a4948e07e3f4a77d895,SnowGushiGit,6
0000/02/16 13:41:37,yamori813,2,https://qiita.com/yamori813/items/798c3c31691cd7f3b80e,yamori813,2
0000/02/16 22:51:52,izayoi5776,1,https://qiita.com/izayoi5776/items/8aee186d083f3540ffd3,,3
0000/02/17 05:02:56,kassiwan,12,https://qiita.com/kassiwan/items/7e066fbcb24923d2d822,kassiwan,4
0000/02/17 17:39:57,teruqii,5,https://qiita.com/teruqii/items/fc2e8dffc80346717b76,,2
0000/02/18 10:52:47,kaizen_nagoya,1,https://qiita.com/kaizen_nagoya/items/c2ede3d20ba625c33ca0,kaizen_nagoya,3
0000/02/18 23:17:27,aoimidori,10,https://qiita.com/aoimidori/items/e4fdcfa29d8822bea6f5,,2
0000/02/19 23:09:47,ginger893,5,https://qiita.com/ginger893/items/e94b8783d79f717c8197,ginger893,3
0000/02/20 15:20:56,kurokida,3,https://qiita.com/kurokida/items/a5dea11805f2a2919ad9,kurokida1,2
0000/02/21 10:24:07,kurokida,2,https://qiita.com/kurokida/items/35e62a0b8f6cbf2c21e9,kurokida1,2
0000/02/21 14:53:19,dokagui_tairan,7,https://qiita.com/dokagui_tairan/items/11c4451e0283bbb797d8,dokagui_tairan,1
0000/02/21 20:35:03,ginger893,1,https://qiita.com/ginger893/items/f1fe0f321a49b8d90a7d,ginger893,3
0000/02/22 16:47:46,dylab,2,https://qiita.com/dylab/items/463875ba8b82ca8af792,,1
0000/02/23 11:31:06,jagaimon,1,https://qiita.com/jagaimon/items/d3e7b0533d3b4c01213e,,1
0000/02/24 00:07:59,stozaki,9,https://qiita.com/stozaki/items/9711d48b63fcf4be4b20,,2
0000/02/25 06:03:36,eigs,29,https://qiita.com/eigs/items/a75f816a9ad2b75466b6,michio_MWJ,2
0000/02/25 06:03:42,eigs,14,https://qiita.com/eigs/items/34c623399298d54453ce,michio_MWJ,2
0000/02/25 06:44:37,eigs,11,https://qiita.com/eigs/items/099931322afa73ce414e,michio_MWJ,2
0000/02/25 09:43:29,xiaolong0703,1,https://qiita.com/xiaolong0703/items/105875451c51bcb12a3d,,4
0000/02/25 11:35:00,newlvAlPr,4,https://qiita.com/newlvAlPr/items/ea3969cea4638ad5bf3c,newlvAlPr,1
